RunId	Time	_sDFiAd_	_sDFiJv_	_sDPisc_	_uDepthWEpi_	_uDepthWHyp_	_oO2WHyp_	_aDVeg_	_oPTotWHyp_	_uPLoad_	_tPDifPO4Hyp_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	8940	2.32772	1.34203	0.0799584	2	0.01	6.91704	89.6012	0.921244	0.001	0	6.70064	1.47984	0.0104941	2.72265	0.00000000101362	0.00000000000688644	-0.000000000000435644	0.0000000000000102505	0	-1
-1																					
1	8940	2.33721	1.14574	0.079795	2	0.01	11.6569	96.871	0.00928195	0.001	0	1.8566	1.68531	0.00838544	1.23361	-0.000000000973428	-0.00000000000154735	0.000000000000146855	-0.000000000000607281	0	-1
-1																					
2	8940	0.333433	0.0603648	0.000226797	5.79578	9.20422	0.00556223	0.0399371	0.0487867	0.001	0.00062512	5.0075	1.28256	0.0148419	29.3223	-0.000000000249887	0.000000000000187071	0.000000000000109377	0.0000000000000186372	0.000000000000250321	-1
-1																					
3	8940	0.333433	0.0603648	0.000226797	5.79578	9.20422	0.00556223	0.0399371	0.0487867	0.001	0.00062512	5.0075	1.28256	0.0148419	29.3223	-0.000000000249887	0.000000000000187071	0.000000000000109377	0.0000000000000186372	0.000000000000250321	-1
-1																					
