t	tintnext	sstore	sstored	stry	sdid	snext
0.0000002	0.001	0.001	0.005			
0.0010002	0.005	0.005	0.025			
0.0060002	0.025	0.025	0.125			
0.0310002	0.125	0.125	0.625			
0.156	0.625	0.625	0.657564			
0.781	0.657564	0.549695	0.594473			
1.33069	0.594473	0.594473	0.647761			
1.92517	0.647761	0.647761	0.818238			
2.57293	0.818238	0.818238	1.06797			
3.39117	1.06797	1.06797	1.38215			
4.45913	1.38215	1.38215	1.74408			
5.84129	1.74408	1.74408	2.04865			
7.58537	2.04865	1.75618	1.82087			
9.34155	1.82087	1.00442	1.21097			
10.346	1.21097	1.21097	1.47965			
11.5569	1.47965	1.47965	1.4306			
13.0366	1.4306	1.05484	1.14787			
14.0914	1.14787	1.14787	1.35622			
15.2393	1.35622	1.35622	1.42659			
16.5955	1.42659	1.21081	1.25545			
17.8063	1.25545	1.25545	1.26075			
19.0618	1.26075	1.26075	1.21494			
20.3225	1.21494	1.21494	1.1734			
21.5375	1.1734	1.1734	1.19207			
22.7109	1.19207	1.19207	1.26016			
23.9029	1.26016	1.26016	1.29856			
25.1631	1.29856	1.29856	1.2486			
26.4617	1.2486	1.2486	1.16587			
27.7103	1.16587	1.16587	1.15285			
28.8761	1.15285	1.15285	1.23799			
30.029	1.23799	1.23799	1.33282			
31.267	1.33282	1.33282	1.30541			
32.5998	1.30541	1.17341	1.19233			
33.7732	1.19233	1.19233	1.26288			
34.9655	1.26288	1.26288	1.30099			
36.2284	1.30099	1.30099	1.24515			
37.5294	1.24515	1.24515	1.15591			
38.7746	1.15591	1.15591	1.14141			
39.9305	1.14141	1.14141	1.23035			
41.0719	1.23035	1.23035	1.32869			
42.3022	1.32869	1.32869	1.29639			
43.6309	1.29639	1.1518	1.17521			
44.7827	1.17521	1.17521	1.25511			
45.9579	1.25511	1.25511	1.29342			
47.2131	1.29342	1.29342	1.22351			
48.5065	1.22351	1.22351	1.12185			
49.73	1.12185	1.12185	1.10958			
50.8518	1.10958	1.10958	1.21272			
51.9614	1.21272	1.21272	1.32004			
53.1741	1.32004	1.32004	1.27377			
54.4942	1.27377	1.10331	1.13579			
55.5975	1.13579	1.13579	1.24199			
56.7333	1.24199	1.24199	1.291			
57.9753	1.291	1.291	1.1948			
59.2663	1.1948	1.05976	1.08177			
60.326	1.08177	1.08177	1.2264			
61.4078	1.2264	1.2264	1.32803			
62.6342	1.32803	1.32803	1.21977			
63.9622	1.21977	1.00832	1.05475			
64.9705	1.05475	1.05475	1.24496			
66.0253	1.24496	1.24496	1.35847			
67.2702	1.35847	1.19004	1.22103			
68.4603	1.22103	1.22103	1.1476			
69.6813	1.1476	1.1476	1.04985			
70.8289	1.04985	1.04985	1.04246			
71.8788	1.04246	1.04246	1.14411			
72.9212	1.14411	1.14411	1.24213			
74.0653	1.24213	1.24213	1.18798			
75.3075	1.18798	1.02128	1.05413			
76.3287	1.05413	1.05413	1.16715			
77.3829	1.16715	1.16715	1.22095			
78.55	1.22095	1.22095	1.11828			
