lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow	
"=IF(COUNTBLANK(A28)<1,ROW()-2,-1)"	0	1	0	0	_ReadPLoad_	0	0	0	0	0	0	0	=J27=K27	=J27=L27	=J27=M27	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_P_loading_otherwise_constant																																														0		ReadPoad	dummy	
"=IF(COUNTBLANK(A29)<1,ROW()-2,-1)"	0	0	0	0	_ReadNLoad_	0	0	0	0	0	0	0	=J28=K28	=J28=L28	=J28=M28	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_N_loading_otherwise_constant																																														0		ReadNoad	dummy	
"=IF(COUNTBLANK(A30)<1,ROW()-2,-1)"	0	0	0	0	_ReadNutFrac_	0	0	0	0	0	0	0	=J29=K29	=J29=L29	=J29=M29	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_loading_with_diff_nutrient_fractions																																														0		ReaNurac	dummy	
"=IF(COUNTBLANK(A31)<1,ROW()-2,-1)"	0	0	0	0	_ReadPLoadPhyt_	0	0	0	0	0	0	0	=J30=K30	=J30=L30	=J30=M30	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_P_loading_algal_input_otherwise_constant																																														0		ReaPLadP	dummy	
"=IF(COUNTBLANK(A32)<1,ROW()-2,-1)"	0	0	0	0	_ReadDLoadDet_	0	0	0	0	0	0	0	=J31=K31	=J31=L31	=J31=M31	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_DDet_loading_otherwise_constant																																														0		ReaDLdDe	dummy	
"=IF(COUNTBLANK(A33)<1,ROW()-2,-1)"	0	0	0	0	_ReadVegShade_	0	0	0	0	0	0	0	=J32=K32	=J32=L32	=J32=M32	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_shading_percentage_of_plants_otherwise_constant																																														0		ReaVSade	dummy	
"=IF(COUNTBLANK(A34)<1,ROW()-2,-1)"	0	0	0	0	_UsePowerVeg_	0	0	1	0	0	0	0	=J33=K33	=J33=L33	=J33=M33	Switch	Forcing	-1	If_TRUE_use_a_power_function_for_vegegation_else_use_exponental_function																																													0		UsePowVeg	UsePoerV		
"=IF(COUNTBLANK(A35)<1,ROW()-2,-1)"	0	0	0	0	_UseLWinVeg_	0	0	1	1	1	1	1	=J34=K34	=J34=L34	=J34=M34	Switch	Forcing	-1	If_TRUE_use_a_light_integration_cue_to_initiate_overwintering_of_vegetation_otherwise_use_cDayWinVeg																																													0		UsePowVeg	UseLWinV		
"=IF(COUNTBLANK(A36)<1,ROW()-2,-1)"	0	0	0	0	_ReadDLoadIM_	0	0	0	0	0	0	0	=J35=K35	=J35=L35	=J35=M35	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_DIM_loading_otherwise_constant																																														0		ReaDLdIM	dummy	
"=IF(COUNTBLANK(A37)<1,ROW()-2,-1)"	0	0	0	0	_UseSeasonLoad_	0	0	0	0	0	0	0	=J36=K36	=J36=L36	=J36=M36	Switch	Forcing	-1	If_TRUE_use_different_inflow_and_loading_for_summer_and_winter_periods																																														0		Useasoad	dummy	
