t	tintnext	sstore	sstored	stry	sdid	snext
158.444	0.981651	0.809	0.846778			
159.253	0.846778	0.846778	1.00739			
160.1	1.00739	1.00739	1.11262			
161.107	1.11262	0.983903	1.00587			
162.091	1.00587	1.00587	0.932559			
163.097	0.932559	0.932559	0.852157			
164.03	0.852157	0.852157	0.86414			
164.882	0.86414	0.86414	0.971746			
165.746	0.971746	0.971746	1.05822			
166.718	1.05822	1.05822	0.992091			
167.776	0.992091	0.837625	0.869537			
168.614	0.869537	0.869537	0.99869			
169.483	0.99869	0.99869	1.07899			
170.482	1.07899	1.07899	0.979478			
171.561	0.979478	0.808717	0.845839			
172.37	0.845839	0.845839	1.01641			
173.215	1.01641	1.01641	1.13408			
174.232	1.13408	1.00019	1.0235			
175.232	1.0235	1.0235	0.939133			
176.256	0.939133	0.939133	0.849971			
177.195	0.849971	0.849971	0.865823			
178.045	0.865823	0.865823	0.988054			
178.91	0.988054	0.988054	1.08443			
179.898	1.08443	1.08443	1.00626			
180.983	1.00626	0.830781	0.869047			
181.814	0.869047	0.869047	1.02			
182.683	1.02	1.02	1.11381			
183.703	1.11381	0.992882	1.01212			
184.696	1.01212	1.01212	0.948009			
185.708	0.948009	0.948009	0.877213			
186.656	0.877213	0.877213	0.888464			
187.533	0.888464	0.888464	0.984063			
188.421	0.984063	0.984063	1.05918			
189.406	1.05918	1.05918	1.00077			
190.465	1.00077	0.867368	0.892305			
191.332	0.892305	0.892305	1.00375			
192.224	1.00375	1.00375	1.07551			
193.228	1.07551	1.07551	0.993525			
194.304	0.993525	0.846267	0.875723			
195.15	0.875723	0.875723	1.01825			
196.026	1.01825	1.01825	1.11559			
197.044	1.11559	1.11559	1.01044			
198.159	1.01044	0.815134	0.859341			
198.975	0.859341	0.859341	1.04528			
199.834	1.04528	1.04528	1.16801			
200.879	1.16801	1.01305	1.04277			
201.892	1.04277	1.04277	0.963081			
202.935	0.963081	0.963081	0.870002			
203.898	0.870002	0.870002	0.877644			
204.768	0.877644	0.877644	0.995123			
205.646	0.995123	0.995123	1.09722			
206.641	1.09722	1.09722	1.0296			
207.738	1.0296	0.810245	0.868042			
208.548	0.868042	0.626756	0.690859			
209.175	0.690859	0.539911	0.57513			
209.715	0.57513	0.495856	0.509817			
210.211	0.509817	0.509817	0.475388			
210.721	0.475388	0.475388	0.471912			
211.196	0.471912	0.471912	0.479678			
211.668	0.479678	0.479678	0.492221			
212.148	0.492221	0.492221	0.504991			
212.64	0.504991	0.504991	0.516378			
213.145	0.516378	0.516378	0.526238			
213.661	0.526238	0.526238	0.534824			
214.187	0.534824	0.534824	0.542296			
214.722	0.542296	0.542296	0.548687			
215.265	0.548687	0.548687	0.55397			
215.813	0.55397	0.55397	0.558109			
216.367	0.558109	0.558109	0.561098			
216.925	0.561098	0.561098	0.562967			
217.486	0.562967	0.562967	0.563791			
218.049	0.563791	0.563791	0.563684			
218.613	0.563684	0.563684	0.562782			
219.177	0.562782	0.562782	0.56123			
219.74	0.56123	0.56123	0.560127			
220.301	0.560127	0.560127	0.557718			
220.861	0.557718	0.557718	0.554605			
221.419	0.554605	0.554605	0.551958			
221.973	0.551958	0.551958	0.549708			
222.525	0.549708	0.549708	0.544883			
223.075	0.544883	0.544883	0.54298			
223.62	0.54298	0.54298	0.542238			
224.163	0.542238	0.542238	0.539962			
224.705	0.539962	0.539962	0.535612			
225.245	0.535612	0.535612	0.531271			
225.781	0.531271	0.531271	0.528902			
226.312	0.528902	0.528902	0.527955			
226.841	0.527955	0.527955	0.526132			
227.369	0.526132	0.526132	0.522317			
227.895	0.522317	0.522317	0.518009			
228.417	0.518009	0.518009	0.515464			
228.935	0.515464	0.515464	0.514852			
229.451	0.514852	0.514852	0.513943			
229.966	0.513943	0.513943	0.510822			
230.48	0.510822	0.510822	0.506408			
230.99	0.506408	0.506408	0.503462			
231.497	0.503462	0.503462	0.503164			
232	0.503164	0.503164	0.503446			
232.503	0.503446	0.503446	0.501331			
233.007	0.501331	0.501331	0.496747			
233.508	0.496747	0.496747	0.492937			
234.005	0.492937	0.492937	0.492576			
234.498	0.492576	0.492576	0.494239			
234.99	0.494239	0.494239	0.493708			
235.485	0.493708	0.493708	0.489156			
235.978	0.489156	0.489156	0.483907			
236.468	0.483907	0.483907	0.482698			
236.951	0.482698	0.482698	0.485699			
237.434	0.485699	0.485699	0.487628			
237.92	0.487628	0.487628	0.483824			
238.407	0.483824	0.483824	0.476641			
238.891	0.476641	0.476641	0.473278			
239.368	0.473278	0.473278	0.47703			
239.841	0.47703	0.47703	0.482466			
240.318	0.482466	0.482466	0.480959			
240.801	0.480959	0.480959	0.4718			
241.282	0.4718	0.4718	0.464438			
241.753	0.464438	0.464438	0.467336			
242.218	0.467336	0.467336	0.477084			
242.685	0.477084	0.477084	0.480539			
243.162	0.480539	0.480539	0.470521			
243.643	0.470521	0.470521	0.456998			
244.113	0.456998	0.456998	0.455877			
244.57	0.455877	0.455877	0.469615			
245.026	0.469615	0.469615	0.481807			
245.496	0.481807	0.481807	0.474321			
245.978	0.474321	0.474321	0.452905			
246.452	0.452905	0.452905	0.442628			
246.905	0.442628	0.442628	0.457486			
247.348	0.457486	0.457486	0.482421			
247.805	0.482421	0.482421	0.484605			
248.287	0.484605	0.484605	0.455707			
248.772	0.455707	0.455707	0.42922			
249.228	0.42922	0.42922	0.438066			
249.657	0.438066	0.438066	0.477426			
250.095	0.477426	0.477426	0.501239			
250.572	0.501239	0.501239	0.470928			
251.074	0.470928	0.4194	0.427484			
251.493	0.427484	0.427484	0.477276			
251.921	0.477276	0.477276	0.512895			
252.398	0.512895	0.512895	0.477902			
252.911	0.477902	0.407203	0.421442			
253.318	0.421442	0.421442	0.485187			
253.739	0.485187	0.485187	0.526801			
254.225	0.526801	0.526801	0.477339			
254.751	0.477339	0.388564	0.408482			
255.14	0.408482	0.408482	0.495198			
255.548	0.495198	0.495198	0.554466			
256.044	0.554466	0.481709	0.49559			
256.525	0.49559	0.49559	0.455047			
257.021	0.455047	0.407901	0.41477			
257.429	0.41477	0.41477	0.474574			
257.844	0.474574	0.474574	0.523628			
258.318	0.523628	0.523628	0.485221			
258.842	0.485221	0.39476	0.415118			
259.237	0.415118	0.415118	0.491954			
259.652	0.491954	0.491954	0.539676			
260.144	0.539676	0.473998	0.485722			
260.618	0.485722	0.485722	0.454881			
261.103	0.454881	0.454881	0.417231			
261.558	0.417231	0.417231	0.419182			
261.975	0.419182	0.419182	0.466231			
262.395	0.466231	0.466231	0.509193			
262.861	0.509193	0.509193	0.484131			
263.37	0.484131	0.411444	0.426209			
263.782	0.426209	0.426209	0.481372			
264.208	0.481372	0.481372	0.51449			
264.689	0.51449	0.51449	0.470684			
265.204	0.470684	0.396744	0.412056			
265.6	0.412056	0.412056	0.487962			
266.012	0.487962	0.487962	0.543568			
266.5	0.543568	0.486717	0.495376			
266.987	0.495376	0.495376	0.45106			
267.482	0.45106	0.45106	0.407449			
267.934	0.407449	0.407449	0.418265			
268.341	0.418265	0.418265	0.48252			
268.759	0.48252	0.48252	0.531979			
269.242	0.531979	0.531979	0.488024			
269.774	0.488024	0.393517	0.414999			
270.167	0.414999	0.414999	0.500383			
270.582	0.500383	0.500383	0.557838			
271.083	0.557838	0.486178	0.499512			
271.569	0.499512	0.499512	0.460962			
272.068	0.460962	0.460962	0.416655			
272.529	0.416655	0.416655	0.421421			
272.946	0.421421	0.421421	0.480285			
273.367	0.480285	0.480285	0.533206			
273.848	0.533206	0.533206	0.500147			
274.381	0.500147	0.408956	0.429245			
274.79	0.429245	0.429245	0.502302			
275.219	0.502302	0.502302	0.547524			
275.721	0.547524	0.487537	0.497105			
276.209	0.497105	0.497105	0.466806			
276.706	0.466806	0.466806	0.432665			
277.173	0.432665	0.432665	0.438169			
277.605	0.438169	0.438169	0.486019			
278.044	0.486019	0.486019	0.526101			
278.53	0.526101	0.526101	0.498865			
279.056	0.498865	0.429625	0.442928			
279.485	0.442928	0.442928	0.499908			
279.928	0.499908	0.499908	0.538437			
280.428	0.538437	0.538437	0.497568			
280.967	0.497568	0.420159	0.436057			
281.387	0.436057	0.436057	0.511535			
281.823	0.511535	0.511535	0.56678			
282.334	0.56678	0.56678	0.512611			
282.901	0.512611	0.405145	0.430102			
283.306	0.430102	0.430102	0.532018			
283.736	0.532018	0.532018	0.604776			
284.268	0.604776	0.519672	0.536539			
284.788	0.536539	0.536539	0.488008			
285.325	0.488008	0.432837	0.441632			
285.757	0.441632	0.441632	0.515636			
286.199	0.515636	0.515636	0.580236			
286.715	0.580236	0.580236	0.536255			
287.295	0.536255	0.42428	0.450295			
287.719	0.450295	0.450295	0.544336			
