RunId	Identifier	Default	Value	Difference	-1
0	33468.4	33468.4	-0.00000249	-1	
0	33594.1	33594.1	-0.0000031322	-1	
-1					
1	33468.4	33468.4	-0.00000249	-1	
1	33594.1	33594.1	-0.0000031322	-1	
1	_InclSurf_	0	1	-1	-1
-1					
2	33468.4	33468.4	-0.00000249	-1	
2	33594.1	33594.1	-0.0000031322	-1	
2	_InclNfix_	0	1	-1	-1
-1					
3	33468.4	33468.4	-0.00000249	-1	
3	33594.1	33594.1	-0.0000031322	-1	
3	_InclSurf_	0	1	-1	-1
3	_InclNfix_	0	1	-1	-1
-1					
