dTime	dValue	-1
0	0.00740814	-1
1	0.00740814	-1
2	0.00740814	-1
3	0.00740814	-1
4	0.00740814	-1
5	0.00740814	-1
6	0.00740814	-1
7	0.00740814	-1
8	0.00740814	-1
9	0.007850858	-1
10	0.00740814	-1
11	0.00740814	-1
12	0.013190143	-1
13	0.017125075	-1
14	0.009276547	-1
15	0.00740814	-1
16	0.00740814	-1
17	0.00740814	-1
18	0.00740814	-1
19	0.00740814	-1
20	0.00740814	-1
21	0.00740814	-1
22	0.00740814	-1
23	0.00740814	-1
24	0.009238447	-1
25	0.013061366	-1
26	0.009793178	-1
27	0.009272737	-1
28	0.008779727	-1
29	0.00740814	-1
30	0.00740814	-1
31	0.00740814	-1
32	0.005543741	-1
33	0.005543741	-1
34	0.005543741	-1
35	0.006282733	-1
36	0.005543741	-1
37	0.005543741	-1
38	0.005543741	-1
39	0.00725939	-1
40	0.010844799	-1
41	0.012469466	-1
42	0.008885914	-1
43	0.005543741	-1
44	0.005543741	-1
45	0.005543741	-1
46	0.005543741	-1
47	0.005543741	-1
48	0.005543741	-1
49	0.005543741	-1
50	0.005543741	-1
51	0.012228087	-1
52	0.008859919	-1
53	0.005543741	-1
54	0.005543741	-1
55	0.005543741	-1
56	0.005543741	-1
57	0.005543741	-1
58	0.005543741	-1
59	0.005543741	-1
60	0.005324635	-1
61	0.005324635	-1
62	0.005324635	-1
63	0.005324635	-1
64	0.005324635	-1
65	0.005324635	-1
66	0.005324635	-1
67	0.005324635	-1
68	0.005324635	-1
69	0.005324635	-1
70	0.005324635	-1
71	0.005324635	-1
72	0.005324635	-1
73	0.005324635	-1
74	0.005324635	-1
75	0.005324635	-1
76	0.005324635	-1
77	0.005324635	-1
78	0.005324635	-1
79	0.005324635	-1
80	0.005324635	-1
81	0.005324635	-1
82	0.005324635	-1
83	0.005324635	-1
84	0.005324635	-1
85	0.005324635	-1
86	0.005324635	-1
87	0.005324635	-1
88	0.005324635	-1
89	0.005324635	-1
90	0.005324635	-1
91	0.008326331	-1
92	0.04406146	-1
93	0.09868837	-1
94	0.100561017	-1
95	0.100562063	-1
96	0.100561017	-1
97	0.100562063	-1
98	0.082041683	-1
99	0.10056834	-1
100	0.092570357	-1
101	0.100561017	-1
102	0.100562063	-1
103	0.100561017	-1
104	0.100874869	-1
105	0.081727831	-1
106	0.100559971	-1
107	0.10428225	-1
108	0.100562063	-1
109	0.044373219	-1
110	0.00639195	-1
111	0.00639195	-1
112	0.00639195	-1
113	0.00639195	-1
114	0.00639195	-1
115	0.00639195	-1
116	0.00639195	-1
117	0.00639195	-1
118	0.00639195	-1
119	0.015618685	-1
120	0.00639195	-1
121	0.00695513	-1
122	0.00695513	-1
123	0.00695513	-1
124	0.00695513	-1
125	0.00695513	-1
126	0.00695513	-1
127	0.007672179	-1
128	0.00695513	-1
129	0.00695513	-1
130	0.00695513	-1
131	0.00695513	-1
