Dag	Qev	Qin	Ptotaal	Ntotaal	NP_ratio
93	2.356	89.5408341	0.09868837	0.891019485	9.379969714
94	1.24	94.99673119	0.100561017	0.904448316	9.337265186
95	1.984	96.09754454	0.100562063	0.904455818	9.33724179
96	1.488	94.29673119	0.100561017	0.904448316	9.337265186
97	2.232	94.39754454	0.100562063	0.904455818	9.33724179
98	1.488	77.29880369	0.082041683	0.771645432	9.849321252
99	1.488	91.00242464	0.10056834	0.904500831	9.337101426
100	1.984	85.68436138	0.092570357	0.84714697	9.532031125
101	2.604	91.29673119	0.100561017	0.904448316	9.337265186
102	2.356	91.39754454	0.100562063	0.904455818	9.33724179
103	2.604	90.99673119	0.100561017	0.904448316	9.337265186
104	1.24	99.04073628	0.100874869	0.906698958	9.330269038
105	1.24	80.65479859	0.081727831	0.76939479	9.860093647
106	2.108	95.99591784	0.100559971	0.904440814	9.337288582
107	1.612	94.4898183	0.10428225	0.931133428	9.257124196
108	2.232	100.0975445	0.100562063	0.904455818	9.33724179
109	2.356	55.61331179	0.044373219	0.501523377	12.32953874
110	1.86	21.38462815	0.00639195	0.229158181	85.0213006
111	2.852	17.78462815	0.00639195	0.229158181	85.0213006
112	3.1	17.78462815	0.00639195	0.229158181	85.0213006
113	2.604	17.78462815	0.00639195	0.229158181	85.0213006
114	2.604	18.18462815	0.00639195	0.229158181	85.0213006
115	1.116	36.78462815	0.00639195	0.229158181	85.0213006
116	2.356	21.68462815	0.00639195	0.229158181	85.0213006
117	1.86	25.28462815	0.00639195	0.229158181	85.0213006
118	1.984	21.58462815	0.00639195	0.229158181	85.0213006
119	3.844	17.78462815	0.015618685	0.219785358	18.43521643
120	2.976	22.28462815	0.00639195	0.229158181	85.0213006
121	2.108	17.78462815	0.00695513	0.398112148	122.1771423
122	4.464	17.78462815	0.00695513	0.398112148	122.1771423
123	1.488	22.18462815	0.00695513	0.398112148	122.1771423
124	1.612	20.18462815	0.00695513	0.398112148	122.1771423
125	3.348	17.78462815	0.00695513	0.398112148	122.1771423
126	3.348	17.78462815	0.00695513	0.398112148	122.1771423
127	4.836	17.78462815	0.007672179	0.394282655	99.17731383
128	4.216	17.78462815	0.00695513	0.398112148	122.1771423
129	5.456	17.78462815	0.00695513	0.398112148	122.1771423
130	5.704	17.78462815	0.00695513	0.398112148	122.1771423
131	5.952	17.78462815	0.00695513	0.398112148	122.1771423
132	5.952	17.78462815	0.00695513	0.398112148	122.1771423
133	5.58	17.78462815	0.00695513	0.398112148	122.1771423
134	2.356	25.68462815	0.00695513	0.398112148	122.1771423
135	3.472	20.78462815	0.00695513	0.398112148	122.1771423
136	2.356	41.48462815	0.00695513	0.398112148	122.1771423
137	2.976	21.38462815	0.00695513	0.398112148	122.1771423
138	2.108	18.88462815	0.00695513	0.398112148	122.1771423
139	4.712	17.78462815	0.00695513	0.398112148	122.1771423
140	4.96	17.78462815	0.00695513	0.398112148	122.1771423
141	4.34	17.78462815	0.00695513	0.398112148	122.1771423
142	5.704	17.78462815	0.00695513	0.398112148	122.1771423
143	6.076	17.78462815	0.00695513	0.398112148	122.1771423
144	5.828	42.44947684	0.050365263	0.678181505	14.53185358
145	6.076	80.37600261	0.117115949	1.108837205	9.776441794
146	4.836	87.83767851	0.130248498	1.193564535	9.431426875
147	1.736	85.03783205	0.124088768	1.153823779	9.583881073
148	1.984	83.30320835	0.122091831	1.140940126	9.636710599
149	5.828	83.9490506	0.123404513	1.149409165	9.60178473
150	5.456	80.81846519	0.117894683	1.113861368	9.753769894
151	4.712	55.92485461	0.073201928	0.82551692	11.8770387
152	3.348	20.98462815	0.012800994	0.469447105	51.56295754
153	1.612	33.78462815	0.008636847	0.523990123	106.0665635
154	1.984	22.48462815	0.007869768	0.534037521	127.9707707
155	2.976	17.78462815	0.008636847	0.523990123	106.0665635
156	4.092	17.78462815	0.007869768	0.534037521	127.9707707
157	4.34	19.48462815	0.007869768	0.534037521	127.9707707
158	4.464	50.56167827	0.065640709	0.701166044	11.31934221
159	5.456	75.0282242	0.116378184	0.84794709	7.525164358
160	5.208	80.4874316	0.126726415	0.877884019	7.135541501
161	4.464	82.00595667	0.129604864	0.886211231	7.038549597
162	4.464	47.63702522	0.064456645	0.697740603	11.48355207
163	4.836	17.78462815	0.007869768	0.534037521	127.9707707
164	4.34	17.78462815	0.007869768	0.534037521	127.9707707
165	6.076	17.78462815	0.007869768	0.534037521	127.9707707
166	3.596	27.18462815	0.007869768	0.534037521	127.9707707
167	3.224	36.08462815	0.007869768	0.534037521	127.9707707
168	2.356	24.08462815	0.007869768	0.534037521	127.9707707
