Type Id Name Set0 Set1 Set2 Set3 Rel0-1 Rel0-2 Rel0-3 Dif0-1 Dif0-2 Dif0-3
Parameter 74 _cQEvVar_ 1.3 1.3 1.3 1.3 0 0 0 0 0 0
Parameter 75 _cPLoad_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 76 _cPLoadSum_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 77 _cPLoadWin_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 78 _fPO4In_ 0.8 0.8 0.8 0.8 0 0 0 0 0 0
Parameter 79 _fPhytInWin_ 0.001 0.001 0.001 0.001 0 0 0 0 0 0
Parameter 80 _fPhytInSum_ 0.002 0.002 0.002 0.002 0 0 0 0 0 0
Parameter 81 _cNLoad_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 82 _cNLoadSum_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 83 _cNLoadWin_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 84 _cNPLoadMeas_ 7 7 7 7 0 0 0 0 0 0
Parameter 85 _cNPPhytIn_ 7 7 7 7 0 0 0 0 0 0
Parameter 86 _cNPDetIn_ 7 7 7 7 0 0 0 0 0 0
Parameter 87 _fNH4DissIn_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 88 _cNDPhytIn_ 0.07 0.07 0.07 0.07 0 0 0 0 0 0
Parameter 89 _cNDDetIn_ 0.07 0.07 0.07 0.07 0 0 0 0 0 0
Parameter 90 _cDIMIn_ 10 10 10 10 0 0 0 0 0 0
Parameter 91 _cO2In_ 5 5 5 5 0 0 0 0 0 0
Parameter 92 _cDredInterval_ 9.999e+006 9.999e+006 9.999e+006 9.999e+006 0 0 0 0 0 0
Parameter 93 _cDredStart_ 9.999e+006 9.999e+006 9.999e+006 9.999e+006 0 0 0 0 0 0
Parameter 94 _cDepthRef_ 1e-028 1e-028 1e-028 1e-028 0 0 0 0 0 0
Parameter 95 _cLengDred_ 10 10 10 10 0 0 0 0 0 0
Parameter 96 _fEffDred_ 0.95 0.95 0.95 0.95 0 0 0 0 0 0
Parameter 97 _fEffDredLemn_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 98 _cFetch_ 0 0 0 0 0 0 0 0 0 0
Parameter 99 _cTmAve_ 12 12 12 12 0 0 0 0 0 0
Parameter 100 _cTmVar_ 10 10 10 10 0 0 0 0 0 0
Parameter 101 _cTimeLag_ 40 40 40 40 0 0 0 0 0 0
Parameter 102 _cVWind_ 5 5 5 5 0 0 0 0 0 0
Parameter 103 _cLDayAve_ 1e+007 1e+007 1e+007 1e+007 0 0 0 0 0 0
Parameter 104 _cLDayVar_ 8e+006 8e+006 8e+006 8e+006 0 0 0 0 0 0
Parameter 105 _cfDayAve_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 106 _cfDayVar_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 107 _fRefl_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 108 _fPAR_ 0.48 0.48 0.48 0.48 0 0 0 0 0 0
Parameter 109 _cDayManVeg1_ -9.999e+006 -9.999e+006 -9.999e+006 -9.999e+006 0 0 0 0 0 0
Parameter 110 _cDayManVeg2_ -9.999e+006 -9.999e+006 -9.999e+006 -9.999e+006 0 0 0 0 0 0
Parameter 111 _fManVeg_ 0.8 0.8 0.8 0.8 0 0 0 0 0 0
Parameter 112 _fManLemn_ 0.4 0.4 0.4 0.4 0 0 0 0 0 0
Parameter 113 _fManHelo_ 0.8 0.8 0.8 0.8 0 0 0 0 0 0
Parameter 114 _cLengMan_ 10 10 10 10 0 0 0 0 0 0
Parameter 115 _cYearStartBirds_ 0 0 0 0 0 0 0 0 0 0
Parameter 116 _cDayStartBirds_ 46 46 46 46 0 0 0 0 0 0
Parameter 117 _cDayEndBirds_ 288 288 288 288 0 0 0 0 0 0
Parameter 118 _cBirdsPerha_ 0 0 0 0 0 0 0 0 0 0
Parameter 119 _cDGrazPerBird_ 45 45 45 45 0 0 0 0 0 0
Parameter 120 _hDVegBird_ 5 5 5 5 0 0 0 0 0 0
Parameter 121 _fDAssBird_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 122 _fDissEgesBird_ 0.25 0.25 0.25 0.25 0 0 0 0 0 0
Parameter 123 _cDErosTot_ 10 10 10 10 0 0 0 0 0 0
Parameter 124 _cExtWat_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 125 _cExtSpDet_ 0.15 0.15 0.15 0.15 0 0 0 0 0 0
Parameter 126 _cExtSpIM_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 127 _cExtSpPhyt_ 0.25 0.25 0.25 0.25 0 0 0 0 0 0
Parameter 128 _fDOrgSoil_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 129 _cPDSoilOM_ 0.001 0.001 0.001 0.001 0 0 0 0 0 0
Parameter 130 _cNDSoilOM_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 131 _cDepthS_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 132 _fLutum_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 133 _fFeDIM_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 134 _fAlDIM_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 135 _cCPerDW_ 0.4 0.4 0.4 0.4 0 0 0 0 0 0
Parameter 136 _cRhoIM_ 2.5e+006 2.5e+006 2.5e+006 2.5e+006 0 0 0 0 0 0
Parameter 137 _cRhoOM_ 1.4e+006 1.4e+006 1.4e+006 1.4e+006 0 0 0 0 0 0
Parameter 138 _cAerRoot_ 0.727 0.727 0.727 0.727 0 0 0 0 0 0
Parameter 139 _cAerLin_ -0.371 -0.371 -0.371 -0.371 0 0 0 0 0 0
Parameter 140 _cAerSquare_ 0.0376 0.0376 0.0376 0.0376 0 0 0 0 0 0
Parameter 141 _cThetaAer_ 1.024 1.024 1.024 1.024 0 0 0 0 0 0
Parameter 142 _kLemnAer_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
