lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
24	0	0	0	1	_mPLoad_	gP/m2/day	0.018	0.025	0.018	0.018	0.018	0.018	TRUE	TRUE	TRUE	use_measured_time-series_of_P_loading	-	-1	use_measured_time-series_of_P_loading																																																mPLoad	dummy
25	0	0	0	0	_mPLoadPO4_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_PO4_loading	-	-1	use_measured_time-series_of_PO4_loading																																																mPLodPO4	dummy
26	0	0	0	0	_mPLoadOrg_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_loading_P_bound_to_organic_matter	-	-1	use_measured_time-series_of_loading_P_bound_to_organic_matter																																																mPLodOrg	dummy
27	0	0	0	0	_mPLoadPhytTot_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_P_loading_algal_input	-	-1	use_measured_time-series_of_P_loading_algal_input																																																mPLotTot	dummy
28	0	0	0	0	_mNLoad_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_N_loading	-	-1	use_measured_time-series_of_N_loading																																																mNLoad	dummy
29	0	0	0	0	_mNLoadNH4_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_NH4_loading	-	-1	use_measured_time-series_of_NH4_loading																																																mNLodNH4	dummy
30	0	0	0	0	_mNLoadNO3_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_NO3_loading	-	-1	use_measured_time-series_of_NO3_loading																																																mNLodNO3	dummy
31	0	0	0	0	_mNLoadOrg_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_loading_N_bound_to_organic_matter	-	-1	use_measured_time-series_of_loading_N_bound_to_organic_matter																																																mNLodOrg	dummy
32	0	0	0	0	_mDLoadDet_	gDW/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_Detritus_loading	-	-1	use_measured_time-series_of_Detritus_loading																																																mDLodDet	dummy
33	0	0	0	0	_mDLoadIM_	gDW/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	use_measured_time-series_of_loading_of_DW_of_inorganic_matter	-	-1	use_measured_time-series_of_loading_of_DW_of_inorganic_matter																																																mDLoadIM	dummy
34	0	0	0	0	_fDTotS0_	gDW/g_sediment	0	0	0.3	0.3	0.3	0.3	TRUE	TRUE	TRUE	initial_dry-weight_fraction_in_sediment	-	-1	initial_dry-weight_fraction_in_sediment																																																fDTotS0	PARM
35	0	0	0	0	_fDOrgS0_	gOM/gDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	initial_organic_fraction_of_sediment_DW	-	-1	initial_organic_fraction_of_sediment_DW																																																fDOrgS0	PARM
36	0	0	0	0	_fDDetS0_	dDet/gOM	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	initial_detritus_fraction_of_sediment_organic_matter	-	-1	initial_detritus_fraction_of_sediment_organic_matter																																																fDDetS0	PARM
37	0	0	0	0	_fPInorgS0_	gP/gDW	0	0	0.0005	0.0005	0.0005	0.0005	TRUE	TRUE	TRUE	initial_inorganic_P_fraction_in_sediment	-	-1	initial_inorganic_P_fraction_in_sediment																																																fPInrgS0	PARM
38	0	0	0	0	_fPAdsS0_	gP_Ads/gP_IM	0	0	0.99	0.99	0.99	0.99	TRUE	TRUE	TRUE	initial_adsorbed_fraction_of_inorganic_P_in_sediment	-	-1	initial_adsorbed_fraction_of_inorganic_P_in_sediment																																																fPAdsS0	PARM
