RunId	Time	_sDDetS_	_sDDetW_	_sDHumS_	_sDIMS_	_sDIMW_	_sNH4S_	_sNH4W_	_sNO3S_	_sNO3W_	_sO2W_	_sPAIMS_	_sPAIMW_	_sPO4S_	_sPO4W_	_sDPhytW_	_sDPhytS_	_sDElod_	_sDChar_	_sDCera_	_sDLemn_	_sDNymp_	_sDHelo_	_oChla_	_aSecchi_	-1
0	10	364.253	1.74654	3271.32	32703.8	0.615537	0.0607185	1.18726	0.0448673	1.53244	12.9094	17.3352	4.23362e-006	0.208028	0.38359	0.288885	0.317664	0.975482	0.896819	0.984847	0.891536	0.921514	0.944774	3.26261	0.5	-1
0	11	364.253	1.74654	3271.32	32703.8	0.615537	0.0607185	1.18726	0.0448673	1.53244	12.9094	17.3352	4.23362e-006	0.208028	0.38359	0.288885	0.317664	0.975482	0.896819	0.984847	0.891536	0.921514	0.944774	3.26261	0.5	-1
0	12	364.343	1.74559	3271.41	32703.5	0.615922	0.0661588	1.25737	0.0506596	1.65022	12.9175	17.2677	4.49655e-006	0.208512	0.410699	0.252908	0.31302	0.974511	0.887635	0.984203	0.886096	0.91359	0.939249	2.8483	0.5	-1
0	13	364.428	1.74499	3271.5	32703.2	0.616268	0.0710377	1.31879	0.0557895	1.75689	12.9257	17.2031	4.72591e-006	0.208835	0.434832	0.222831	0.306017	0.973853	0.879107	0.983731	0.881353	0.906069	0.934001	2.50187	0.5	-1
0	14	364.514	1.74458	3271.59	32702.9	0.616592	0.0755879	1.37488	0.0604816	1.8574	12.934	17.1388	4.93463e-006	0.209027	0.457205	0.196595	0.297148	0.973469	0.870869	0.983404	0.877024	0.898641	0.928815	2.2021	0.5	-1
0	15	364.604	1.74429	3271.68	32702.6	0.616908	0.0800475	1.42875	0.064972	1.95703	12.9427	17.0714	5.13464e-006	0.209099	0.479023	0.17254	0.286325	0.973362	0.862489	0.983217	0.872854	0.890906	0.923413	1.92962	0.5	-1
0	16	364.698	1.74409	3271.77	32702.2	0.617214	0.0843834	1.48011	0.0692242	2.05511	12.9517	17.0008	5.32505e-006	0.209049	0.500144	0.150696	0.273827	0.973581	0.85401	0.983198	0.86886	0.882877	0.917805	1.68254	0.5	-1
0	17	364.698	1.74409	3271.77	32702.2	0.617214	0.0843834	1.48011	0.0692242	2.05511	12.9517	17.0008	5.32505e-006	0.209049	0.500144	0.150696	0.273827	0.973581	0.85401	0.983198	0.86886	0.882877	0.917805	1.68254	0.5	-1
0	18	364.791	1.74397	3271.87	32701.9	0.61749	0.0883555	1.52629	0.0730192	2.14616	12.9602	16.9312	5.49621e-006	0.208894	0.519426	0.132	0.260699	0.974138	0.845912	0.98336	0.865248	0.875001	0.912303	1.47006	0.5	-1
0	19	364.878	1.74389	3271.96	32701.6	0.617728	0.0918433	1.56616	0.0762748	2.2272	12.9679	16.8653	5.644e-006	0.20867	0.536309	0.116607	0.247865	0.974986	0.838505	0.983683	0.862114	0.867599	0.907133	1.29467	0.5	-1
0	20	364.963	1.74385	3272.04	32701.3	0.617936	0.0949882	1.60156	0.0791534	2.30128	12.9748	16.8014	5.77527e-006	0.208385	0.5515	0.10354	0.235252	0.976115	0.831557	0.984159	0.859324	0.860463	0.902151	1.14671	0.5	-1
0	21	365.051	1.74381	3272.14	32701	0.618127	0.0980187	1.63518	0.0818815	2.37368	12.9813	16.7352	5.89999e-006	0.208019	0.566115	0.0916738	0.222166	0.977613	0.824587	0.984826	0.856676	0.853101	0.897012	1.01376	0.5	-1
