t	tintnext	sstore	sstored	stry	sdid	snext
158.533	0.87725	0.87725	0.884344			
159.41	0.884344	0.884344	0.959139			
160.294	0.959139	0.959139	1.01915			
161.253	1.01915	1.01915	0.975873			
162.272	0.975873	0.874221	0.889317			
163.147	0.889317	0.889317	0.969916			
164.036	0.969916	0.969916	1.02508			
165.006	1.02508	1.02508	0.970637			
166.031	0.970637	0.866307	0.882362			
166.897	0.882362	0.882362	0.976627			
167.78	0.976627	0.976627	1.04408			
168.756	1.04408	1.04408	0.981389			
169.8	0.981389	0.854364	0.877724			
170.655	0.877724	0.877724	0.991234			
171.532	0.991234	0.991234	1.06792			
172.524	1.06792	1.06792	0.986827			
173.592	0.986827	0.83394	0.865554			
174.425	0.865554	0.865554	1.01001			
175.291	1.01001	1.01001	1.10713			
176.301	1.10713	1.10713	0.9993			
177.408	0.9993	0.802506	0.847681			
178.211	0.847681	0.847681	1.03736			
179.058	1.03736	1.03736	1.16434			
180.096	1.16434	1.00657	1.03753			
181.102	1.03753	1.03753	0.954979			
182.14	0.954979	0.859169	0.872589			
182.999	0.872589	0.872589	0.99396			
183.872	0.99396	0.99396	1.09323			
184.866	1.09323	1.09323	1.01874			
185.959	1.01874	0.842194	0.880918			
186.801	0.880918	0.880918	1.0289			
187.682	1.0289	1.0289	1.11901			
188.711	1.11901	1.00049	1.01899			
189.711	1.01899	1.01899	0.95782			
190.73	0.95782	0.95782	0.89			
191.688	0.89	0.89	0.901205			
192.578	0.901205	0.901205	0.993592			
193.479	0.993592	0.993592	1.06594			
194.473	1.06594	1.06594	1.00999			
195.539	1.00999	0.882314	0.905479			
196.421	0.905479	0.905479	1.01227			
197.327	1.01227	1.01227	1.08256			
198.339	1.08256	1.08256	1.00605			
199.421	1.00605	0.86493	0.892573			
200.286	0.892573	0.892573	1.02774			
201.179	1.02774	1.02774	1.12103			
202.207	1.12103	1.12103	1.02374			
203.328	1.02374	0.838585	0.880141			
204.166	0.880141	0.880141	1.05627			
205.046	1.05627	1.05627	1.17372			
206.103	1.17372	1.03318	1.0583			
207.136	1.0583	1.0583	0.978105			
208.194	0.978105	0.978105	0.890603			
209.172	0.890603	0.890603	0.906038			
210.063	0.906038	0.906038	1.02866			
210.969	1.02866	1.02866	1.1292			
211.998	1.1292	1.1292	1.05748			
213.127	1.05748	0.88404	0.921937			
214.011	0.921937	0.921937	1.07233			
214.933	1.07233	1.07233	1.12893			
216.005	1.12893	1.01587	1.02981			
217.021	1.02981	1.02981	0.969092			
218.051	0.969092	0.969092	0.964414			
219.02	0.964414	0.964414	0.985214			
219.984	0.985214	0.985214	1.0287			
220.97	1.0287	1.0287	1.09441			
221.998	1.09441	1.09441	1.18936			
223.093	1.18936	1.18936	1.33935			
224.282	1.33935	1.14462	1.18699			
225.427	1.18699	1.18699	1.07168			
226.614	1.07168	0.934573	0.962273			
227.548	0.962273	0.962273	1.14529			
228.51	1.14529	1.14529	1.29416			
229.656	1.29416	1.29416	1.17185			
230.95	1.17185	0.892149	0.967674			
231.842	0.967674	0.967674	1.21932			
232.81	1.21932	1.05316	1.0839			
233.863	1.0839	0.89304	0.934698			
234.756	0.934698	0.783746	0.814797			
235.54	0.814797	0.714246	0.730863			
236.254	0.730863	0.730863	0.672			
236.985	0.672	0.672	0.649029			
237.657	0.649029	0.649029	0.64334			
238.306	0.64334	0.64334	0.647474			
238.949	0.647474	0.647474	0.656037			
239.597	0.656037	0.656037	0.666156			
240.253	0.666156	0.666156	0.676482			
240.919	0.676482	0.676482	0.686476			
241.595	0.686476	0.686476	0.695906			
242.282	0.695906	0.695906	0.704621			
242.978	0.704621	0.704621	0.712485			
243.682	0.712485	0.712485	0.719371			
244.395	0.719371	0.719371	0.725176			
245.114	0.725176	0.725176	0.729839			
245.839	0.729839	0.729839	0.733349			
246.569	0.733349	0.733349	0.735754			
247.303	0.735754	0.735754	0.73715			
248.038	0.73715	0.73715	0.737673			
248.775	0.737673	0.737673	0.737471			
249.513	0.737471	0.737471	0.736697			
250.251	0.736697	0.736697	0.735484			
250.987	0.735484	0.735484	0.733947			
251.723	0.733947	0.733947	0.732181			
252.457	0.732181	0.732181	0.730274			
253.189	0.730274	0.730274	0.728272			
253.919	0.728272	0.728272	0.726221			
254.647	0.726221	0.726221	0.724176			
255.374	0.724176	0.724176	0.722178			
256.098	0.722178	0.722178	0.720239			
256.82	0.720239	0.720239	0.718363			
257.54	0.718363	0.718363	0.71634			
258.259	0.71634	0.71634	0.715939			
258.975	0.715939	0.715939	0.714421			
259.691	0.714421	0.714421	0.711692			
260.405	0.711692	0.711692	0.709344			
261.117	0.709344	0.709344	0.708767			
261.826	0.708767	0.708767	0.709341			
262.535	0.709341	0.709341	0.708997			
263.244	0.708997	0.708997	0.706711			
263.953	0.706711	0.706711	0.704003			
264.66	0.704003	0.704003	0.703317			
265.364	0.703317	0.703317	0.704978			
266.067	0.704978	0.704978	0.706408			
266.772	0.706408	0.706408	0.704994			
267.479	0.704994	0.704994	0.701553			
268.184	0.701553	0.701553	0.699873			
268.885	0.699873	0.699873	0.702262			
269.585	0.702262	0.702262	0.706242			
270.288	0.706242	0.706242	0.706813			
270.994	0.706813	0.706813	0.702605			
271.701	0.702605	0.702605	0.698486			
272.403	0.698486	0.698486	0.700315			
273.102	0.700315	0.700315	0.707467			
273.802	0.707467	0.707467	0.712215			
274.509	0.712215	0.712215	0.708344			
275.222	0.708344	0.708344	0.700031			
275.93	0.700031	0.700031	0.698369			
276.63	0.698369	0.698369	0.708173			
277.328	0.708173	0.708173	0.720404			
278.037	0.720404	0.720404	0.720477			
278.757	0.720477	0.720477	0.706953			
279.477	0.706953	0.706953	0.696631			
280.184	0.696631	0.696631	0.705524			
280.881	0.705524	0.705524	0.728529			
281.587	0.728529	0.728529	0.740362			
282.315	0.740362	0.740362	0.724029			
283.055	0.724029	0.724029	0.697932			
283.779	0.697932	0.697932	0.690861			
284.477	0.690861	0.690861	0.722272			
285.168	0.722272	0.722272	0.766718			
285.891	0.766718	0.766718	0.769113			
286.657	0.769113	0.769113	0.718734			
287.426	0.718734	0.718734	0.677129			
288.145	0.677129	0.677129	0.701056			
288.822	0.701056	0.506914	0.532042			
289.329	0.532042	0.287158	0.827459			
289.616	0.827459	0.0771059	0.38553			
289.693	0.38553	0.285544	0.259951			
289.979	0.259951	0.259951	0.56261			
290.239	0.56261	0.56261	0.67735			
290.802	0.67735	0.67735	0.892092			
291.479	0.892092	0.892092	0.924618			
292.371	0.924618	0.68776	0.746696			
293.059	0.746696	0.746696	0.815625			
293.805	0.815625	0.815625	0.805622			
