lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
28	0	0	0	1	_mPLoad_	gP/m2/day	0.0001	0.005	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_P_loading																																														0		mPLoad	dummy
29	0	0	0	0	_mPLoadPO4_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_PO4_loading																																														0		mPLoadPO4	dummy
30	0	0	0	0	_mPLoadOrg_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_loading_P_bound_to_org_matter																																														0		mPLoadOrg	dummy
31	0	0	0	0	_mPLoadPhytTot_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_P_loading_algal_input																																														0		mPLoaytTot	dummy
32	0	0	0	0	_mNLoad_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_N_loading																																														0		mNLoad	dummy
33	0	0	0	0	_mNLoadNH4_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_NH4_loading																																														0		mNLoadNH4	dummy
34	0	0	0	0	_mNLoadNO3_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_NO3_loading																																														0		mNLoadNO3	dummy
35	0	0	0	0	_mNLoadOrg_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_loading_N_bound_to_org_matter																																														0		mNLoadOrg	dummy
36	0	0	0	0	_mDLoadDet_	gDW/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_Detritus_loading																																														0		mDLoadDet	dummy
37	0	0	0	0	_mDLoadIM_	gDW/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	use_measured_time-series_of_loading_of_DW_of_inorg_matter																																														0		mDLoadIM	dummy
38	0	0	0	0	_BeginTime_	day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Invoer	Runtime	-1	begintime																																														0		BeginTime	PARM
39	0	0	0	0	_EndTime_	day	0	0	365	365	365	365	TRUE	TRUE	TRUE	Invoer	General	-1	(=1_year)																																														0		EndTime	PARM
40	0	0	0	0	_YearZero_	-	0	0	0	0	0	0	TRUE	TRUE	TRUE	Parameter	Runtime	-1	Note_also__Day_no_1_=_1_Jan_of_this_year																																														0		YearZero	PARM
41	0	0	0	0	_cFetch_	m	800	1200	1000	1000	1000	1000	TRUE	TRUE	TRUE	Input_factor	Resuspension	-1	wind_fetch																																														0		cFetch	PARM
42	0	0	0	0	_fMarsh_	m2_marsh/m2_lake	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Marsh	-1	relative_marsh_area																																														0		fMarsh	PARM
43	0	0	0	0	_fLutum_	-	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	lutum_content_of_inorg_matter																																														0		fLutum	PARM
44	0	0	0	0	_fFeDIM_	gFe/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Fe_content_of_inorg_matter																																														0		fFeDIM	PARM
45	0	0	0	0	_fAlDIM_	gAl/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Al_content_of_inorg_matter																																														0		fAlDIM	PARM
46	0	0	0	0	_cTmAve_	oC	0	0	12	12	12	12	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	average_water_temperature																																														0		cTmAve	PARM
47	0	0	0	0	_cTmVar_	oC	0	0	10	10	10	10	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	annual_water_temperature_variation																																														0		cTmVar	PARM
48	0	0	0	0	_cTimeLag_	day	0	0	40	40	40	40	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	time_lag_for_temperature																																														0		cTimeLag	PARM
49	0	0	0	0	_cVWind_	m/s	0	0	5	5	5	5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	average_wind_speed																																														0		cVWind	PARM
50	0	0	0	0	_cQInf_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	infiltration_rate																																														0		cQInf	PARM
51	0	0	0	0	_cPBackLoad_	gP/m2/d	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Background_P_loading																																														0		cPBackLoad	PARM
52	0	0	0	0	_cNBackLoad_	gP/m2/d	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Background_N_loading																																														0		cNBackLoad	PARM
53	0	0	0	0	_cLDayAve_	J/m2/day	0	0	10000000	10000000	10000000	10000000	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	annual_average_radiation																																														0		cLDayAve	PARM
54	0	0	0	0	_cLDayVar_	J/m2/day	0	0	8000000	8000000	8000000	8000000	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	annual_variation_in_radiation																																														0		cLDayVar	PARM
55	0	0	0	0	_cfDayAve_	-	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	average_day_length																																														0		cfDayAve	PARM
56	0	0	0	0	_cfDayVar_	-	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	annual_variation_in_day_length																																														0		cfDayVar	PARM
57	0	0	0	0	_fRefl_	-	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	Input_factor	Light	-1	the_fraction_photosynthetically_active_radiation_reflected_at_the_surface																																														0		fRefl	PARM
58	0	0	0	0	_cExtWat_	m-1	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Light	-1	background_extinction																																														0		cExtWat	PARM
59	0	0	0	0	_cDredInterval_	y	0	0	9999000	9999000	9999000	9999000	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	dredging_interval																																														0		cDrederval	PARM
60	0	0	0	0	_cDredStart_	y	0	0	9999000	9999000	9999000	9999000	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	first_dredging_year_(should_be_n_times__cDredInterval_)																																														0		cDredStart	PARM
61	0	0	0	0	_cDepthRef_	m	0	0	1.00E-28	1.00E-28	1.00E-28	1.00E-28	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	reference_water_depth_for_dredging																																														0		cDepthRef	PARM
62	0	0	0	0	_cLengDred_	day	0	0	10	10	10	10	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	length_of_dredging_period																																														0		cLengDred	PARM
63	0	0	0	0	_fEffDred_	-	0	0	0.95	0.95	0.95	0.95	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	dredging_efficiency_(<10)																																														0		fEffDred	PARM
64	0	0	0	0	_fEffDredBent_	-	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	dredging_efficiency_for_zoobenthos_(<10)																																														0		fEffDdBent	PARM
