RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_oO2WHyp_	_aDVeg_	_oO2WEpi_	_oPTotWHyp_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	_aDepthError_	-1
0	28	2	2.30991	0.815031	0.000263767	6.91704	0.0618919	13.1826	0.921244	6.70064	0.960806	0.71803	6.67074	-7.27596e-012	1.7053e-013	0	0	0	0	-1
0	29	2	2.31326	0.812059	0.000264378	6.91704	0.0624546	13.2073	0.921244	6.70064	0.956409	0.711814	6.92147	-7.27596e-012	1.13687e-013	7.10543e-015	7.10543e-015	0	0	-1
0	30	2	2.31663	0.809115	0.000264984	6.91704	0.0630141	13.2331	0.921244	6.70064	0.95144	0.705715	7.20621	-1.45519e-011	5.68434e-014	7.10543e-015	7.10543e-015	0	0	-1
0	31	2	2.31663	0.809115	0.000264984	6.91704	0.0630141	13.2331	0.921244	6.70064	0.95144	0.705715	7.20621	-1.45519e-011	5.68434e-014	7.10543e-015	7.10543e-015	0	0	-1
0	32	2	2.32012	0.806128	0.000265601	6.91704	0.0635833	13.2608	0.921244	6.70064	0.945699	0.699591	7.53757	-7.27596e-012	1.13687e-013	7.10543e-015	7.10543e-015	0	0	-1
0	33	2	2.32374	0.803098	0.000266229	6.91704	0.0641636	13.2912	0.921244	6.70064	0.939039	0.693426	7.92551	-7.27596e-012	5.68434e-014	7.10543e-015	7.10543e-015	0	0	-1
0	34	2	2.3274	0.800102	0.000266851	6.91704	0.0647417	13.3241	0.921244	6.70064	0.9315	0.687359	8.37008	-7.27596e-012	0	1.42109e-014	7.10543e-015	0	0	-1
0	35	2	2.33103	0.797201	0.000267455	6.91704	0.0653051	13.3594	0.921244	6.70064	0.923185	0.68151	8.86806	-7.27596e-012	0	7.10543e-015	1.42109e-014	0	0	-1
0	36	2	2.33469	0.794354	0.000268048	6.91704	0.0658584	13.3976	0.921244	6.70064	0.913986	0.67582	9.42917	-7.27596e-012	-5.68434e-014	7.10543e-015	7.10543e-015	0	0	-1
0	37	2	2.33848	0.791466	0.00026865	6.91704	0.0664183	13.4406	0.921244	6.70064	0.903538	0.67011	10.0808	-1.45519e-011	-1.13687e-013	7.10543e-015	0	0	0	-1
0	38	2	2.34249	0.788504	0.000269269	6.91704	0.066992	13.49	0.921244	6.70064	0.89153	0.664299	10.8502	-1.45519e-011	-5.68434e-014	1.42109e-014	0	0	0	-1
0	39	2	2.3466	0.785547	0.000269888	6.91704	0.0675658	13.5458	0.921244	6.70064	0.878089	0.658515	11.7393	-1.45519e-011	-5.68434e-014	1.42109e-014	0	0	0	-1
0	40	2	2.35068	0.782695	0.000270485	6.91704	0.0681203	13.6065	0.921244	6.70064	0.863642	0.652942	12.7304	-2.18279e-011	-5.68434e-014	7.10543e-015	0	0	0	-1
0	41	2	2.35475	0.779935	0.000271063	6.91704	0.0686544	13.6724	0.921244	6.70064	0.848288	0.647574	13.8269	-2.18279e-011	-5.68434e-014	7.10543e-015	-7.10543e-015	0	0	-1
0	42	2	2.35475	0.779935	0.000271063	6.91704	0.0686544	13.6724	0.921244	6.70064	0.848288	0.647574	13.8269	-2.18279e-011	-5.68434e-014	7.10543e-015	-7.10543e-015	0	0	-1
0	43	2	2.35898	0.777154	0.000271647	6.91704	0.0691865	13.746	0.921244	6.70064	0.831517	0.642213	15.0793	-1.45519e-011	-5.68434e-014	1.42109e-014	-7.10543e-015	0	0	-1
0	44	2	2.3635	0.774275	0.000272252	6.91704	0.0697311	13.8307	0.921244	6.70064	0.812779	0.636694	16.5511	-2.18279e-011	-5.68434e-014	7.10543e-015	-7.10543e-015	0	0	-1
0	45	2	2.36824	0.771364	0.000272864	6.91704	0.0702773	13.9262	0.921244	6.70064	0.792348	0.631106	18.2503	-2.18279e-011	-1.13687e-013	1.42109e-014	-7.10543e-015	0	0	-1
0	46	2	2.37297	0.768562	0.000273455	6.91704	0.0707996	14.0281	0.921244	6.70064	0.771278	0.625692	20.1147	-2.18279e-011	-5.68434e-014	7.10543e-015	-1.42109e-014	0	0	-1
0	47	2	2.37763	0.765901	0.000274018	6.91704	0.0712893	14.1341	0.921244	6.70064	0.750179	0.620529	22.1053	-2.91038e-011	0	7.10543e-015	0	0	0	-1
0	48	2	2.38243	0.763264	0.000274577	6.91704	0.0717642	14.2469	0.921244	6.70064	0.728518	0.615419	24.2894	-2.18279e-011	0	0	-7.10543e-015	0	0	-1
0	49	2	2.38762	0.760526	0.000275161	6.91704	0.0722455	14.3719	0.921244	6.70064	0.705425	0.610111	26.7891	-2.18279e-011	0	7.10543e-015	0	0	0	-1
0	50	2	2.39318	0.757723	0.000275763	6.91704	0.0727292	14.5087	0.921244	6.70064	0.681148	0.604611	29.626	-2.18279e-011	-5.68434e-014	7.10543e-015	0	0	0	-1
0	51	2	2.3988	0.755028	0.000276348	6.91704	0.073188	14.6488	0.921244	6.70064	0.657237	0.59921	32.6506	-2.91038e-011	-1.13687e-013	-7.10543e-015	7.10543e-015	0	0	-1
0	52	2	2.40428	0.752536	0.000276896	6.91704	0.0736058	14.7852	0.921244	6.70064	0.634811	0.594099	35.7165	-2.91038e-011	-1.13687e-013	-7.10543e-015	7.10543e-015	0	0	-1
0	53	2	2.40982	0.750147	0.000277429	6.91704	0.073997	14.9203	0.921244	6.70064	0.613345	0.589116	38.8795	-2.18279e-011	-5.68434e-014	-7.10543e-015	1.42109e-014	0	0	-1
0	54	2	2.41584	0.747707	0.000277987	6.91704	0.0743874	15.0617	0.921244	6.70064	0.591569	0.583919	42.3377	-2.18279e-011	-5.68434e-014	-1.42109e-014	7.10543e-015	0	0	-1
0	55	2	2.41584	0.747707	0.000277987	6.91704	0.0743874	15.0617	0.921244	6.70064	0.591569	0.583919	42.3377	-2.18279e-011	-5.68434e-014	-1.42109e-014	7.10543e-015	0	0	-1
