sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet2	
_cExtSpIM_	_m_^2*_gDW_^-1	0	0	0.05	0.05	
_fDTotS0_	_gDW_*_gDW_^-1	0	0	0.2	0.2	
_fDOrgS0_	_gDW_*_gDW_^-1	0	0	0.08	0.08	
_fDDetS0_	_gDW_*_gDW_^-1	0	0	0.05	0.05	
_fSedPhyt0_	_gDWDiat_*_gDW_^-1	0	0	0.01	0.01	
_fPInorgS0_	_gP_*_gDW_^-1	0	0	0.0005	0.0005	
_fPAdsS0_	0	0	0	0.99	0.99	
_cPDDet0_	_gP_*_gDW_^-1	0	0	0.0025	0.0025	
_cNDDet0_	_gN_*_gDW_^-1	0	0	0.025	0.025	
_cSiDDet0_	_gSi_*_gDW_^-1	0	0	0.01	0.01	
_cPDHum0_	_gP_*_gDW_^-1	0	0	0.005	0.005	
_cNDHum0_	_gN_*_gDW_^-1	0	0	0.05	0.05	
_cPDPhyt0_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_cNDPhyt0_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_cPDDiat0_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_cNDDiat0_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_cPDGren0_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_cNDGren0_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_cPDBlue0_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_cNDBlue0_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_cPDVeg0_	_gP_*_gDW_^-1	0	0	0.002	0.002	
_cNDVeg0_	_gN_*_gDW_^-1	0	0	0.02	0.02	
_cSiDDiat_	_gSi_*_gDW_^-1	0	0	0.15	0.15	
_cPDZooRef_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_cNDZooRef_	_gN_*_gDW_^-1	0	0	0.07	0.07	
_cPDBentRef_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_cNDBentRef_	_gN_*_gDW_^-1	0	0	0.07	0.07	
_cPDFishRef_	_gP_*_gDW_^-1	0	0	0.022	0.022	
_cNDFishRef_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_cPDPisc_	_gP_*_gDW_^-1	0	0	0.022	0.022	
_cNDPisc_	_gN_*_gDW_^-1	0	0	0.1	0.1	
_cQInEpi_	_mm_*_d_^-1	0	0	20	20	
_cQInSum_	_mm_*_d_^-1	0	0	20	20	
_cQInWin_	_mm_*_d_^-1	0	0	20	20	
_cMixDepth_	_m_	0	0	1.5	4.5	
_cMaxWOut_	_d_^-1	0	0	1	1	
_cQInExtraApril1_	_mm_*_d_^-1	0	0	0	0	
_cQInExtraOct1_	_mm_*_d_^-1	0	0	0	0	
_cQOutExtraApril1_	_mm_*_d_^-1	0	0	0	0	
_cQOutExtraOct1_	_mm_*_d_^-1	0	0	0	0	
_cQEvAve_	_mm_*_d_^-1	0	0	1.5	1.5	
_cQEvVar_	_mm_*_d_^-1	0	0	1.3	1.3	
_cPLoad_	_gP_*_m_^-2*_d_^-1	0	0	0.005	0.005	
_cPLoadSum_	_gP_*_m_^-2*_d_^-1	0	0	0.005	0.005	
_cPLoadWin_	_gP_*_m_^-2*_d_^-1	0	0	0.005	0.005	
_fPO4In_	0	0	0	0.5	0.5	
_fPhytInWin_	0	0	0	0.02	0.02	
_fPhytInSum_	0	0	0	0.1	0.1	
_fDiatPhytIn_	0	0	0	0.33	0.33	
_fGrenPhytIn_	0	0	0	0.34	0.34	
_fBluePhytIn_	0	0	0	0.33	0.33	
_cNLoad_	_gN_*_m_^-2*_d_^-1	0	0	0.05	0.05	
_cNLoadSum_	_gN_*_m_^-2*_d_^-1	0	0	0.05	0.05	
_cNLoadWin_	_gN_*_m_^-2*_d_^-1	0	0	0.05	0.05	
_cNPLoadMeas_	_gN_*_gP_^-1	0	0	10	10	
_cNPPhytIn_	_gP_*_gDW_^-1	0	0	7	7	
_cNPDetIn_	_gP_*_gDW_^-1	0	0	7	7	
_fNH4DissIn_	0	0	0	0.5	0.5	
_cNDPhytIn_	_gN_*_gDW_^-1	0	0	0.07	0.07	
_cNDDetIn_	_gN_*_gDW_^-1	0	0	0.07	0.07	
_cDIMIn_	_gDW_*_m_^-3	0	0	5	5	
_cO2In_	_gO2_*_m_^-3	0	0	5	5	
_cSiO2In_	_gSi_*_m_^-3	0	0	3	3	
_cSiDDetIn_	_gSi_*_gDW_^-1	0	0	0.05	0.05	
