sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet2	
_kMortBent_	_d_^-1	0	0	0.005	0.005	
_fDissMortBent_	0	0	0	0.1	0.1	
_cTmOptBent_	_oC_	0	0	25	25	
_cSigTmBent_	_oC_	0	0	16	16	
_fDBone_	0	0	0	0.35	0.35	
_fPBone_	0	0	0	0.5	0.5	
_cDCarrFish_	_gDW_*_m_^-2	0	0	23	23	
_fDissEgesFish_	0	0	0	0.25	0.25	
_fDissMortFish_	0	0	0	0.1	0.1	
_cTmOptFish_	_oC_	0	0	25	25	
_cSigTmFish_	_oC_	0	0	10	10	
_cDayReprFish_	0	0	0	120	120	
_fReprFish_	0	0	0	0.02	0.02	
_fAgeFish_	0	0	0	0.5	0.5	
_cRelVegFish_	0	0	0	0.009	0.009	
_kDAssFiJv_	_d_^-1	0	0	0.12	0.12	
_hDZooFiJv_	_gDW_*_m_^-2	0	0	1.25	1.25	
_fDAssFiJv_	0	0	0	0.4	0.4	
_kDRespFiJv_	_d_^-1	0	0	0.01	0.01	
_kMortFiJv_	_d_^-1	0	0	0.00137	0.00137	
_kDAssFiAd_	_d_^-1	0	0	0.06	0.06	
_hDBentFiAd_	_gDW_*_m_^-2	0	0	2.5	2.5	
_fDAssFiAd_	0	0	0	0.4	0.4	
_kDRespFiAd_	_d_^-1	0	0	0.004	0.004	
_kMortFiAd_	_d_^-1	0	0	0.00027	0.00027	
_cDCarrPiscMax_	_gDW_*_m_^-2	0	0	1.2	1.2	
_cDCarrPiscMin_	_gDW_*_m_^-2	0	0	0.1	0.1	
_cDCarrPiscBare_	_gDW_*_m_^-2	0	0	1	1	
_cDPhraMinPisc_	_gDW_*_m_^-2	0	0	50	50	
_cCovVegMin_	0	0	0	40	40	
_cTmOptVeg_	_oC_	0	0	20	20	
_cSigTmVeg_	_oC_	0	0	20	20	
_cRelPhraPisc_	_gDW_*_m_^-2	0	0	0.075	0.075	
_cRelVegPisc_	_gDW_*_m_^-2	0	0	0.03	0.03	
_kDAssPisc_	_d_^-1	0	0	0.025	0.025	
_hDVegPisc_	_gDW_*_m_^-2	0	0	5	5	
_hDFishPisc_	_gDW_*_m_^-2	0	0	1	1	
_fDAssPisc_	0	0	0	0.4	0.4	
_fDissEgesPisc_	0	0	0	0.25	0.25	
_kDRespPisc_	_d_^-1	0	0	0.005	0.005	
_kMortPisc_	_d_^-1	0	0	0.00027	0.00027	
_fDissMortPisc_	0	0	0	0.1	0.1	
_cTmOptPisc_	_oC_	0	0	25	25	
_cSigTmPisc_	_oC_	0	0	10	10	
_cDepthSM_	_m_	0	0	0.1	0.1	
_kExchMaxM_	_m_^3*_m_^-3*_d_^-1	0	0	1	1	
_hfMarsh_	_m_^2*_m_^-2	0	0	0.1	0.1	
_fDTotSM0_	_gDW_*_gDW_^-1	0	0	0.3	0.3	
_fDOrgSM0_	_gDW_*_gDW_^-1	0	0	0.1	0.1	
_fDDetSM0_	_gDW_*_gDW_^-1	0	0	0.05	0.05	
_fPInorgSM0_	_gP_*_gDW_^-1	0	0	0.0005	0.0005	
_cPDPhra0_	_gP_*_gDW_^-1	0	0	0.002	0.002	
_cNDPhra0_	_gN_*_gDW_^-1	0	0	0.02	0.02	
_cDensStemPhra_	_m_^-2	0	0	61.5	61.5	
_cTmInitPhra_	_oC_	0	0	8	8	
_fDAllPhra_	0	0	0	0.3	0.3	
_kDAllPhra_	_d_^-1	0	0	0.05	0.05	
_cDStemPhra_	_gDW_*_m_^-1	0	0	6	6	
_cQ10ProdPhra_	0	0	0	2	2	
_cMuPhraMax_	_d_^-1	0	0	0.03	0.03	
_cDShootPhraMax_	_gDW_*_m_^-2	0	0	3500	3500	
_cCovSpPhra_	_gDW_^-1*_m_^-2	0	0	0.1	0.1	
_cPDPhraMin_	0	0	0	0.0008	0.0008	
_cPDPhraMax_	0	0	0	0.003	0.003	
_cNDPhraMin_	0	0	0	0.008	0.008	
_cNDPhraMax_	0	0	0	0.03	0.03	
_cAffNUptPhra_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.0002	0.0002	
_cAffPUptPhra_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.0002	0.0002	
_cVNUptPhraMax_	_gN_*_gDW_^-1*_d_^-1	0	0	0.1	0.1	
_cVPUptPhraMax_	_gP_*_gDW_^-1	0	0	0.01	0.01	
_kDRespPhra_	_d_^-1	0	0	0.001	0.001	
_cQ10RespPhra_	1^[_oC_^-1]	0	0	2.5	2.5	
_fDayWin_	0	0	0	0.52	0.52	
_fDRealPhra_	0	0	0	0.85	0.85	
_kDRealPhra_	_d_^-1	0	0	0.05	0.05	
_kDMortShootPhra_	_d_^-1	0	0	0	0	
_kDMortRootPhra_	_d_^-1	0	0	0.000391	0.000391	
_cDayWinPhra_	_d_	0	0	259	259	
_cDayManPhra_	_d_	0	0	255	255	
_fManPhra_	_d_^-1	0	0	0	0	
_kDManShootPhra_	_d_^-1	0	0	1	1	
_DaysPerYear_	_d_*_y_^-1	0	0	365	365	
_TenDays_	_d_	0	0	10	10	
_HoursInDay_	_h_	0	0	24	24	
_HoursPerDay_	_h_*_d_^-1	0	0	24	24	
_SecsPerDay_	_s_*_d_^-1	0	0	86400	86400	
_mmPerm_	_mm_*_m_^-1	0	0	1000	1000	
_m2Perha_	_m_^2*_ha_^-1	0	0	10000	10000	
_mgPerg_	_mgChl_*_gChl_^-1	0	0	1000	1000	
_gPerkg_	_g_*_kg_	0	0	1000	1000	
_gPerton_	_g_*_ton_^-1	0	0	1000000	1000000	
_PerDay_	_d_^-1	0	0	1	1	
_PerCent_	0	0	0	0.01	0.01	
_NearZero_	0	0	0	1E-28	1E-28	
_molO2molC_	_gO2_*_gC_^-1	0	0	2.6667	2.6667	
_molO2molN_	_gO2_*_gN_^-1	0	0	2.2857	2.2857	
_molNmolC_	_gN_*_gC_^-1	0	0	1.1667	1.1667	
_ugPerg_	_ug_*_g_^-1	0	0	1000000	1000000	
_cRhoWat_	_gDW_*_m_^-3	0	0	1000000	1000000	
_cSolar_	_J_*_s_^-1*_m_^-2	1361	1375	1368	1368	
_cLAT_	_deg_	-90	90	52	52	
_cPhiR_	_rad_	0.409	0.409	0.409	0.409	
_cDayR_	_d_	173	173	173	173	
_fCloudH_	0	0	1	0.15	0.15	
_fCloudM_	0	0	1	0.15	0.15	
_fCloudL_	0	0	1	0.15	0.15	
_cTrans_	0	0	1	0.41	0.41	
_Pi_	0	0	0	3.141592654	3.141592654	
_cHeat_	0	0	160	100	100	
_cAlpha_	0	0	4.25	2	2	
_cDepthMeasoChl_	_m_	0	0	0.3	0.3	
_cPMax_	0	0	0	1.3	1.3	
_cDepthMetaMin_	_m_	0	0	0.0001	0.0001	
_fMeta_	0	0	0	0.13	0.13	
_kBub_	_m_*_d_^-1	0	0	0.4	0.4	
_mNLoadNH4Hyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadNO3Hyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadPO4Hyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadAIMHyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mSiLoadSiO2Hyp_	_gSi_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mO2LoadHyp_	_gO2_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadDetHyp_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadDetHyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadDetHyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mSiLoadDetHyp_	_gSi_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadIMHyp_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadDiatHyp_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadDiatHyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadDiatHyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadGrenHyp_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadGrenHyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadGrenHyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadBlueHyp_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadBlueHyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadBlueHyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadZooHyp_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadZooHyp_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadZooHyp_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadAIMEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mSiLoadSiO2Epi_	_gSi_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mO2LoadEpi_	_gO2_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadDetEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadDetEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mSiLoadDetEpi_	_gSi_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadDiatEpi_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadDiatEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadDiatEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadGrenEpi_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadGrenEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadGrenEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadBlueEpi_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadBlueEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadBlueEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadZooEpi_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadZooEpi_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadZooEpi_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mDLoadBlueSurf_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mNLoadBlueSurf_	_gN_*_m_^-2*_d_^-1	0	0	-99999	-99999	
_mPLoadBlueSurf_	_gP_*_m_^-2*_d_^-1	0	0	-99999	-99999	
